Nom;Libellé;gest
sc-root-sale-order-lines;Lignes de devis/cmdes;
sc-root-sale-orders;Devis/Cmdes Clients;
sc-root-sale-orders-subscription;Devis/Comm Client avec des abonnements à facturer;
sc-root-sale-report;Rapports;
sc-root-sale-templates;Modèles;
stock-mrp;CBN;
stock-mrp-calculation;Calcul des besoins;
stock-mrp-configuration;configuration;
stock-mrp-configuration-mrp-line-type;Types d'encours;
stock-mrp-forecast;Prévisions;
stock-multi-purchase-invoicing;Facturation en masse de BR;
stock-multi-sale-invoicing;Facturation en masse de BL;
stock-root;Stocks;
stock-root-all-line;Lignes Mvt Stock;
stock-root-conf;Configuration;
stock-root-conf-freight-carrier;Transporteur;
stock-root-conf-freight-carrier-mode;Mode de transporteur;
stock-root-conf-min-stock-rules;Règles de stock min.;
stock-root-conf-shipment-mode;Mode de livraison;
stock-root-conf-stock-tracking-numbers;N° de suivis/lots;
stock-root-custdeliveries;Livraisons Client;
stock-root-incoming-client;Retours clients;
stock-root-incoming-production;Mvt. Des besoins en production;
stock-root-incoming-supplier;Réceptions fournisseurs;
stock-root-internal;Mouvements Internes;
stock-root-inventories;Traitements Périodiques;
stock-root-inventories-draft;Inventaires;
stock-root-location;Emplacements de stock;
stock-root-outcoming-client;Livraisons clients;
stock-root-outcoming-production;Mvt. Prévisionnels de production;
stock-root-outcoming-supplier;Retours fournisseurs;
stock-root-planned;Prévisions;
stock-root-report;Rapports;
stock-root-suparrivals;Receptions Fournisseur;
top-invoice;Factures/Avoirs;
top-invoice-all;Voir Factures/Avoirs;
top-invoice-create-invoice;Créer Facture;
top-invoice-custinvoices;Voir Fact. Clients;
top-invoice-custrefunds;Voir Avoirs Clients;
top-invoice-supplinvoices;Voir Factures Fourn.;
top-invoice-supplrefunds;Voir Avoirs Fourn.;
top-menu-activity-create-call;Créer appel;
top-menu-activity-create-meeting;Créer Rendez-vous;
top-menu-activity-create-task;Créer Tâche;
top-menu-activity-my-calendar;Mon Calendrier;
top-menu-activity-team-calendar;Calendrier Equipe;
top-menu-activity-view-calls;Voir Appels;
top-menu-activity-view-meetings;Voir Rendez-vous;
top-menu-activity-view-tasks;Voir Tâches;
top-menu-create-contact;Créer Contact;
top-menu-create-lead;Créer Piste;
top-menu-create-opportunity;Créer Opportunité;
top-menu-create-partner;Créer un tiers;
top-menu-create-so;Créer Devis;
top-menu-crm-activities;Activités;
top-menu-utility;Créer;
top-payments;Paiements;
top-payments-all;Voir Paiements;
top-payments-create-payment;Créer Paiement;
top-payments-customers;Voir Paiements Clients;
top-payments-suppliers;Voir Règlements Fourn.;
top-prospection;Prospection;
top-prospection-create-lead;Créer Piste;
top-prospection-create-opportunity;Créer Opportunité;
top-prospection-leads;Voir Pistes;
top-prospection-opportunity;Voir Opportunités;
top-purchase;Achats;
top-purchase-create-rfq;Créer Demande de devis;
top-purchase-orders;Voir Commandes;
top-purchase-orders-all;Devis & Cmdes;
top-purchase-quotes;Voir Demandes de devis;
top-relations;Tiers;
top-relations-contacts;Voir Contacts;
top-relations-partners;Voir Tiers;
top-sale;Ventes;
top-sale-create-quote;Créer Devis;
top-sale-offers;Voir Devis;
top-sale-orders;Voir Commandes;
top-sale-orders-all;Devis & Commandes;
top-stock;Stock;
top-stock-create-stock-move;Créer Mvt. Stock;
top-stock-cust-deliveries;Voir Livraisons Clients;
top-stock-internal-moves;Voir Mvts. Internes;
top-stock-moves-all;Voir Mvts de stock;
top-stock-suppl-deliveries;Voir Réceptions fournisseur;
